image_path,label,category,description
train/low_0000.png,0,text_list,Text list with simple bullets - no graphics
train/low_0001.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0002.png,0,text_list,Text list with simple bullets - no graphics
train/low_0003.png,0,text_list,Text list with simple bullets - no graphics
train/low_0004.png,0,text_list,Text list with simple bullets - no graphics
train/low_0005.png,0,text_list,Text list with simple bullets - no graphics
train/low_0006.png,0,text_list,Text list with simple bullets - no graphics
train/low_0007.png,0,letter_text,Letter with text only - no logo
train/low_0008.png,0,text_list,Text list with simple bullets - no graphics
train/low_0009.png,0,text_list,Text list with simple bullets - no graphics
train/low_0010.png,0,letter_text,Letter with text only - no logo
train/low_0011.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0012.png,0,letter_text,Letter with text only - no logo
train/low_0013.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0014.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0015.png,0,letter_text,Letter with text only - no logo
train/low_0016.png,0,letter_text,Letter with text only - no logo
train/low_0017.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0018.png,0,text_list,Text list with simple bullets - no graphics
train/low_0019.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0020.png,0,text_list,Text list with simple bullets - no graphics
train/low_0021.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0022.png,0,letter_text,Letter with text only - no logo
train/low_0023.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0024.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0025.png,0,letter_text,Letter with text only - no logo
train/low_0026.png,0,text_list,Text list with simple bullets - no graphics
train/low_0027.png,0,text_list,Text list with simple bullets - no graphics
train/low_0028.png,0,text_list,Text list with simple bullets - no graphics
train/low_0029.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0030.png,0,letter_text,Letter with text only - no logo
train/low_0031.png,0,letter_text,Letter with text only - no logo
train/low_0032.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0033.png,0,letter_text,Letter with text only - no logo
train/low_0034.png,0,letter_text,Letter with text only - no logo
train/low_0035.png,0,letter_text,Letter with text only - no logo
train/low_0036.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0037.png,0,text_list,Text list with simple bullets - no graphics
train/low_0038.png,0,text_list,Text list with simple bullets - no graphics
train/low_0039.png,0,text_list,Text list with simple bullets - no graphics
train/low_0040.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0041.png,0,text_list,Text list with simple bullets - no graphics
train/low_0042.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0043.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0044.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0045.png,0,text_list,Text list with simple bullets - no graphics
train/low_0046.png,0,text_list,Text list with simple bullets - no graphics
train/low_0047.png,0,text_list,Text list with simple bullets - no graphics
train/low_0048.png,0,letter_text,Letter with text only - no logo
train/low_0049.png,0,text_list,Text list with simple bullets - no graphics
train/low_0050.png,0,letter_text,Letter with text only - no logo
train/low_0051.png,0,text_list,Text list with simple bullets - no graphics
train/low_0052.png,0,text_list,Text list with simple bullets - no graphics
train/low_0053.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0054.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0055.png,0,letter_text,Letter with text only - no logo
train/low_0056.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0057.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0058.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0059.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0060.png,0,text_list,Text list with simple bullets - no graphics
train/low_0061.png,0,text_list,Text list with simple bullets - no graphics
train/low_0062.png,0,letter_text,Letter with text only - no logo
train/low_0063.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0064.png,0,letter_text,Letter with text only - no logo
train/low_0065.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0066.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0067.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0068.png,0,text_list,Text list with simple bullets - no graphics
train/low_0069.png,0,letter_text,Letter with text only - no logo
train/low_0070.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0071.png,0,text_list,Text list with simple bullets - no graphics
train/low_0072.png,0,text_list,Text list with simple bullets - no graphics
train/low_0073.png,0,text_list,Text list with simple bullets - no graphics
train/low_0074.png,0,text_list,Text list with simple bullets - no graphics
train/low_0075.png,0,text_list,Text list with simple bullets - no graphics
train/low_0076.png,0,text_list,Text list with simple bullets - no graphics
train/low_0077.png,0,letter_text,Letter with text only - no logo
train/low_0078.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0079.png,0,letter_text,Letter with text only - no logo
train/low_0080.png,0,text_list,Text list with simple bullets - no graphics
train/low_0081.png,0,text_list,Text list with simple bullets - no graphics
train/low_0082.png,0,letter_text,Letter with text only - no logo
train/low_0083.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0084.png,0,letter_text,Letter with text only - no logo
train/low_0085.png,0,text_list,Text list with simple bullets - no graphics
train/low_0086.png,0,text_list,Text list with simple bullets - no graphics
train/low_0087.png,0,letter_text,Letter with text only - no logo
train/low_0088.png,0,text_list,Text list with simple bullets - no graphics
train/low_0089.png,0,letter_text,Letter with text only - no logo
train/low_0090.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0091.png,0,letter_text,Letter with text only - no logo
train/low_0092.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0093.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0094.png,0,letter_text,Letter with text only - no logo
train/low_0095.png,0,text_list,Text list with simple bullets - no graphics
train/low_0096.png,0,text_list,Text list with simple bullets - no graphics
train/low_0097.png,0,letter_text,Letter with text only - no logo
train/low_0098.png,0,letter_text,Letter with text only - no logo
train/low_0099.png,0,text_list,Text list with simple bullets - no graphics
train/low_0100.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0101.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0102.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0103.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0104.png,0,text_list,Text list with simple bullets - no graphics
train/low_0105.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0106.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0107.png,0,pure_text,Pure text paragraphs - NO graphics
train/low_0108.png,0,letter_text,Letter with text only - no logo
train/low_0109.png,0,text_list,Text list with simple bullets - no graphics
